track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
191,0,,9,2020-12-06 12,2020-12-07 18,34.0,173.25,1007.6,9.6,250.0,3.613,29.4,35.1,49.7,54.0,7.6,280.0,2.598,24.2,1013.1,35.0,-5.5,12,2020
192,0,,4,2020-12-08 00,2020-12-08 18,55.0,164.0,994.8,8.5,210.0,3.946,25.7,28.5,38.9,139.0,nan,nan,nan,nan,nan,nan,nan,12,2020
195,0,,17,2020-12-08 06,2020-12-10 06,51.0,175.0,971.5,30.6,890.0,4.856,44.2,45.1,63.4,460.0,27.0,590.0,5.026,42.2,976.6,49.0,-5.100000000000023,12,2020
197,0,,11,2020-12-08 18,2020-12-10 00,53.25,218.25,994.3,26.3,420.0,6.247,44.0,42.1,57.0,245.0,15.3,260.0,5.615,36.7,1001.8,46.5,-7.5,12,2020
199,0,,14,2020-12-09 12,2020-12-11 18,51.0,202.5,972.0,31.3,390.0,7.937,51.6,45.3,67.0,165.0,22.7,460.0,4.959,41.1,988.6,42.75,-16.600000000000023,12,2020
202,0,,10,2020-12-10 12,2020-12-12 06,37.0,172.5,997.8,12.6,270.0,4.542,34.3,48.0,63.2,133.0,12.0,290.0,4.074,32.8,1000.8,36.5,-3.0,12,2020
204,1,2020-12-12 00,3,2020-12-11 12,2020-12-12 00,39.5,209.0,983.3,25.5,410.0,6.176,47.5,51.4,76.0,141.0,nan,nan,nan,nan,nan,nan,nan,12,2020
206,0,,3,2020-12-11 18,2020-12-12 06,51.5,149.25,1001.7,9.9,650.0,1.734,17.6,27.0,35.6,76.0,nan,nan,nan,nan,nan,nan,nan,12,2020
207,1,2020-12-14 06,20,2020-12-12 00,2020-12-14 12,45.75,210.5,965.7,42.6,480.0,8.974,61.7,58.9,89.7,118.0,30.9,360.0,8.395,56.2,981.5,38.0,-15.799999999999955,12,2020
209,0,,4,2020-12-12 06,2020-12-13 00,48.5,219.25,971.9,34.8,700.0,5.894,49.8,46.8,69.0,238.0,nan,nan,nan,nan,nan,nan,nan,12,2020
210,0,,4,2020-12-12 06,2020-12-13 00,42.0,155.25,984.0,23.5,530.0,4.599,40.8,39.3,62.2,327.0,nan,nan,nan,nan,nan,nan,nan,12,2020
216,1,2020-12-13 12,9,2020-12-13 06,2020-12-15 00,53.25,161.5,960.2,32.6,480.0,7.146,50.4,63.5,94.7,122.0,34.5,320.0,10.526,59.2,962.5,47.5,-2.2999999999999545,12,2020
