label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2022202327,2023-01-18 06,34.75,145.75,1006.1,1017.4,11.3,11.3,430.0,1.01,2.617,27.5,42.9,392.0,2022,1,s0114
0,pool_2023011600_36_233,2023-01-16 00,36.25,233.25,994.0,1009.3,15.3,14.9,370.0,0.89,4.017,35.2,63.4,0.0,2022,1,s0114
0,pool_2023012512_35_200,2023-01-25 12,35.0,199.5,1003.1,1018.9,15.8,15.9,470.0,1.29,3.391,33.9,55.2,0.0,2022,1,s0114
0,pool_2023012400_38_188,2023-01-24 00,37.5,188.0,992.8,1008.6,15.8,15.8,430.0,0.93,3.673,34.1,56.3,0.0,2022,1,s0114
1,2022202328,2023-01-19 12,40.5,203.0,1001.0,1007.7,6.6,6.7,420.0,0.47,1.587,17.3,22.8,547.0,2022,1,s0115
1,2022202329,2023-01-20 12,48.0,179.0,981.5,999.1,17.5,18.7,510.0,1.89,3.672,32.3,46.1,311.0,2022,1,s0116
0,pool_2023010306_51_218,2023-01-03 06,51.25,218.0,978.0,995.9,17.8,17.3,330.0,1.73,5.236,36.6,62.7,0.0,2022,1,s0116
0,pool_2023011506_45_234,2023-01-15 06,45.0,233.75,984.7,1003.1,18.4,18.3,460.0,0.84,3.989,34.4,52.6,0.0,2022,1,s0116
0,pool_2023010806_48_218,2023-01-08 06,48.25,218.0,977.4,996.3,18.9,19.7,480.0,1.46,4.094,34.6,51.2,0.0,2022,1,s0116
1,2022202330,2023-01-23 18,32.0,142.25,1003.1,1012.3,9.2,10.0,510.0,0.99,1.952,23.9,34.4,543.0,2022,1,s0117
1,2022202331,2023-01-24 12,42.25,153.0,975.1,1004.5,29.5,33.9,650.0,1.98,5.222,47.1,72.5,547.0,2022,1,s0118
0,pool_2023010918_46_228,2023-01-09 18,45.5,228.0,968.6,998.5,29.9,29.9,440.0,3.59,6.789,49.6,88.8,0.0,2022,1,s0118
0,pool_2023012206_41_168,2023-01-22 06,41.0,168.25,975.6,1002.8,27.2,25.6,290.0,2.52,8.816,52.7,125.4,0.0,2022,1,s0118
0,pool_2023011106_44_208,2023-01-11 06,44.0,208.25,963.9,992.4,28.5,41.3,930.0,0.38,4.443,44.4,59.7,0.0,2022,1,s0118
1,2022202332,2023-01-27 06,32.25,138.75,1001.7,1012.1,10.3,11.4,610.0,0.8,1.862,23.9,32.6,549.0,2022,1,s0119
1,2022202333,2023-02-01 12,42.75,144.5,995.7,1015.5,19.8,20.2,500.0,0.94,4.033,36.2,55.5,289.0,2022,2,s0120
0,pool_2023022400_44_232,2023-02-24 00,44.25,232.25,996.9,1019.5,22.6,27.1,680.0,1.81,3.992,38.1,53.4,0.0,2022,2,s0120
