label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2023202434,2024-02-02 00,56.0,177.25,973.2,1005.1,31.8,32.5,530.0,1.07,6.134,45.5,69.1,193.0,2023,2,
1,2023202435,2024-02-03 06,50.0,172.75,985.1,990.6,5.6,13.4,1200.0,2.64,1.114,12.7,13.6,550.0,2023,2,
1,2023202436,2024-02-05 12,54.25,185.25,968.3,999.6,31.2,35.0,640.0,1.15,5.468,44.2,62.9,549.0,2023,2,
1,2023202437,2024-02-13 12,42.5,188.5,983.1,997.7,14.6,15.0,450.0,1.67,3.343,30.7,46.2,543.0,2023,2,
1,2023202438,2024-02-15 12,39.75,141.25,1002.5,1018.8,16.3,17.5,590.0,0.78,2.973,30.8,43.4,542.0,2023,2,
1,2023202439,2024-02-26 00,32.5,144.75,993.7,1017.0,23.4,24.1,490.0,2.19,4.914,45.7,85.4,249.0,2023,2,
1,2023202440,2024-02-29 06,32.25,129.25,1009.1,1022.0,12.9,13.3,480.0,1.03,2.762,30.4,48.3,510.0,2023,3,
1,2023202441,2024-03-07 06,44.25,160.25,974.9,1009.1,34.2,35.9,540.0,1.89,6.655,52.5,89.0,339.0,2023,3,
1,2023202442,2024-03-07 12,28.25,144.0,1007.9,1013.7,5.8,6.1,580.0,0.23,1.048,16.0,20.7,475.0,2023,3,
1,2023202443,2024-03-10 12,39.75,159.75,996.9,1014.2,17.3,17.1,440.0,0.74,3.896,35.1,56.9,503.0,2023,3,
1,2023202444,2024-03-12 06,33.75,137.25,996.8,1013.7,16.9,17.6,500.0,1.22,3.513,35.9,59.0,545.0,2023,3,
1,2023202445,2024-03-15 18,40.25,148.25,997.2,1013.3,16.1,15.8,370.0,0.51,4.273,35.5,61.7,467.0,2023,3,
1,2023202446,2024-03-20 00,35.5,139.25,999.4,1013.7,14.4,15.6,620.0,0.51,2.511,28.8,40.4,384.0,2023,3,
1,2023202447,2024-03-30 00,44.25,192.75,997.3,1014.9,17.6,18.8,550.0,1.15,3.412,32.2,45.6,530.0,2023,3,
1,2023202448,2024-04-01 00,33.75,147.5,1002.8,1013.8,11.0,12.0,630.0,0.35,1.907,23.9,32.0,548.0,2023,4,
1,2023202449,2024-04-05 00,45.0,161.75,987.6,1014.7,27.1,27.6,460.0,1.59,6.0,46.3,79.2,407.0,2023,4,
1,2023202450,2024-04-18 06,30.75,136.5,995.7,1008.8,13.1,13.1,450.0,1.1,2.92,31.6,53.3,427.0,2023,4,
1,2024202501,2024-09-20 06,46.25,146.75,995.8,1010.1,14.3,13.9,350.0,1.44,3.959,31.5,51.1,417.0,2024,9,
